name,model,size,price,rating,review_count,images,highlights,description,features,sub_category,category,parent_category,,,sub_cat_formula,,,,des_heading,des_body,,,,,,,,,,description_formula
SA-D20,None,None,"['Rs.8,9901']",0,0,['https://www.sony.co.in/image/3dde82e0cc76fb82f0647aa3970b3ca5?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],2.1ch Home Theatre Satellite Speakers,"[""Enhance Your Audio with the SA-D20 2.1ch Home Theatre Speakers:\nBoost-up your sound experience with Simple Set-up 2.1ch stylish Home Theatre speakers SA-D20. This compact, space saving system features Bluetooth connectivity along with USB and audio inputs. So you can connect it with mobile, TV or your PC and bring great sound to all your entertainment. Just one cable required to connect and is easy to control by user friendly Remote controller.\n""]","['2.1ch system with 60 W total power output ', 'Easy Wireless listening with Bluetooth ', 'USB and audio-in playback ', 'Supplied with remote control ', 'Big Size SubWoofer Box for Wider sound effect of Multimedia Speaker ']",['Home Theatre Speakers'],Home Theatre and Sound bars,Audio,,,['Home Theatre Speakers'],,,,Enhance Your Audio with the SA-D20 2.1ch Home Theatre Speakers,"Boost-up your sound experience with Simple Set-up 2.1ch stylish Home Theatre speakers SA-D20. This compact, space saving system features Bluetooth connectivity along with USB and audio inputs. So you can connect it with mobile, TV or your PC and bring great sound to all your entertainment. Just one cable required to connect and is easy to control by user friendly Remote controller.",,,,,,,,,,"[""Enhance Your Audio with the SA-D20 2.1ch Home Theatre Speakers:\nBoost-up your sound experience with Simple Set-up 2.1ch stylish Home Theatre speakers SA-D20. This compact, space saving system features Bluetooth connectivity along with USB and audio inputs. So you can connect it with mobile, TV or your PC and bring great sound to all your entertainment. Just one cable required to connect and is easy to control by user friendly Remote controller.\n""]"
HT-A3000,None,None,"['Rs.69,9901']",4,46,['https://www.sony.co.in/image/4d8defd03d7bab8490ebe9f236a4f3e0?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],360 Spatial Sound Mapping Dolby AtmosÂ® / DTS:XÂ® 3.1ch Soundbar | HT-A3000,"[""Immersive sound for movies and music:\nThe HT-A3000 immerses you in authentic surround sound with a centre speaker for clear dialogue and a built-in dual subwoofer for impressive power. With optional rear speakers it supports 360 Spatial Sound Mapping too, so you can lose yourself in your favourite movies, TV shows and music.\n""]","['Supports 360 Spatial Sound Mapping with optional rear speakers ', 'S-Force PRO Front Surround and Vertical Surround Engine for multi-dimensional sound ', 'A built-in dual subwoofer and three front speakers including a dedicated centre speaker for immersive movies ', 'Sound Field Optimisation for easy set up with optional speakers ', 'Stream all your music with wireless connectivity ']",['Soundbars'],Home Theatre and Sound bars,Audio,,,['Soundbars'],,,,Immersive sound for movies and music,"The HT-A3000 immerses you in authentic surround sound with a centre speaker for clear dialogue and a built-in dual subwoofer for impressive power. With optional rear speakers it supports 360 Spatial Sound Mapping too, so you can lose yourself in your favourite movies, TV shows and music.",,,,,,,,,,"[""Immersive sound for movies and music:\nThe HT-A3000 immerses you in authentic surround sound with a centre speaker for clear dialogue and a built-in dual subwoofer for impressive power. With optional rear speakers it supports 360 Spatial Sound Mapping too, so you can lose yourself in your favourite movies, TV shows and music.\n""]"
HT-A5000,None,None,"['Rs.104,9901']",4.5,32,['https://www.sony.co.in/image/d93db98f7609b848c0333d5319bb0490?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],360 Spatial Sound Mapping Dolby AtmosÂ®/DTS:XÂ® 5.1.2ch Soundbar | HT-A5000,"[""Discover the next level of immersion:\nTake movies into a whole new realm. The HT-A5000 envelops you in authentic 5.1.2 channel surround sound with up-firing speakers, side beam tweeters, built-in dual subwoofer and advanced audio software technologies. Be part of the scene with action happening above and all around you.\n""]","['Supports 360 Spatial Sound Mapping with optional rear speakers ', 'S-Force PRO Front Surround and Vertical Surround Engine for multi-dimensional sound ', 'Up-firing speakers, beam tweeters, a built-in dual subwoofer and three front speakers ', 'Sound Field Optimization for easy set up ', 'Stream all your music with wireless connectivity ']",['Soundbars'],Home Theatre and Sound bars,Audio,,,['Soundbars'],,,,Discover the next level of immersion,"Take movies into a whole new realm. The HT-A5000 envelops you in authentic 5.1.2 channel surround sound with up-firing speakers, side beam tweeters, built-in dual subwoofer and advanced audio software technologies. Be part of the scene with action happening above and all around you.",,,,,,,,,,"[""Discover the next level of immersion:\nTake movies into a whole new realm. The HT-A5000 envelops you in authentic 5.1.2 channel surround sound with up-firing speakers, side beam tweeters, built-in dual subwoofer and advanced audio software technologies. Be part of the scene with action happening above and all around you.\n""]"
HT-A9,None,None,"['Rs.169,9901']",0,0,['https://www.sony.co.in/image/60bc3428f7308285e5babc003192e4c4?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],360 Spatial Sound Mapping Dolby AtmosÂ®/DTS:XÂ® Home Theatre System | HT-A9,"[""A new frontier of surround sound:\nFeel sound from every direction and distance, even beyond the boundaries of your room. With our unique 360 Spatial Sound Mapping technology, the HT-A9 surround sound system immerses you, your family and friends in a multidimensional experience like never before. \n""]","['360 Spatial Sound Mapping for a whole new surround experience ', 'Flexible layout with wireless connectivity ', 'Sound Field Optimization for easy set up ', 'Immersive Audio Enhancement converts regular audio to Spatial Sound ', 'Multiple phantom speakers for immersive movies and music ']","['Soundbars', 'Home Theatre Systems']",Home Theatre and Sound bars,Audio,,,"['Soundbars', 'Home Theatre Systems']",,,,A new frontier of surround sound,"Feel sound from every direction and distance, even beyond the boundaries of your room. With our unique 360 Spatial Sound Mapping technology, the HT-A9 surround sound system immerses you, your family and friends in a multidimensional experience like never before. ",,,,,,,,,,"[""A new frontier of surround sound:\nFeel sound from every direction and distance, even beyond the boundaries of your room. With our unique 360 Spatial Sound Mapping technology, the HT-A9 surround sound system immerses you, your family and friends in a multidimensional experience like never before. \n""]"
SA-D40,None,None,"['Rs.13,9901']",0,0,['https://www.sony.co.in/image/a78fa7de1c06509970540649e2e1db1d?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],4.1ch Home Theatre Satellite Speakers,"[""Elevate Your Entertainment with the SA-D40 Multimedia Speaker:\nEnjoy Movies & TV programs with family and let your home thunder with Powerful Bass and wider sound effect of Multimedia Speaker SA-D40. This stylish 80W 4.1ch multimedia speaker feature Bluetooth® connectivity along with USB and audio inputs, So you can enjoy your favourite mobile songs with enhanced sound. Just one cable required to connect and is easy to control by the simple and user friendly remote controller.\n""]","['4.1ch system with 80 W total power output ', 'Supplied with remote control ', 'Big Size SubWoofer Box for Wider sound effect of Multimedia Speaker ', 'Enjoy easy wireless connectivity with Bluetooth ', 'USB and audio-in playback ']",['Home Theatre Speakers'],Home Theatre and Sound bars,Audio,,,['Home Theatre Speakers'],,,,Elevate Your Entertainment with the SA-D40 Multimedia Speaker,"Enjoy Movies & TV programs with family and let your home thunder with Powerful Bass and wider sound effect of Multimedia Speaker SA-D40. This stylish 80W 4.1ch multimedia speaker feature Bluetooth® connectivity along with USB and audio inputs, So you can enjoy your favourite mobile songs with enhanced sound. Just one cable required to connect and is easy to control by the simple and user friendly remote controller.",,,,,,,,,,"[""Elevate Your Entertainment with the SA-D40 Multimedia Speaker:\nEnjoy Movies & TV programs with family and let your home thunder with Powerful Bass and wider sound effect of Multimedia Speaker SA-D40. This stylish 80W 4.1ch multimedia speaker feature Bluetooth® connectivity along with USB and audio inputs, So you can enjoy your favourite mobile songs with enhanced sound. Just one cable required to connect and is easy to control by the simple and user friendly remote controller.\n""]"
HT-A7000 SERIES,None,None,"['Rs.149,9901']",0,0,['https://www.sony.co.in/image/3368a02b62122671f2fc7271424337dd?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],7.1.2ch Dolby AtmosÂ®/ DTS:XÂ® Soundbar | HT-A7000,"[""Surround yourself in absolute realism:\nThe HT-A7000 envelops you in authentic 7.1.2 channel surround sound with up-firing speakers, side beam tweeters, and a built-in dual subwoofer. And with optional rear speakers it supports 360 Spatial Sound Mapping, enabling you to discover a whole new level of immersion.\n""]","['S-Force PRO Front Surround and Vertical Surround Engine for multi-dimensional sound ', 'Immersive Audio Enhancement adds overhead sound to conventional surround soundtracks and even stereo audio ', 'Up-firing speakers, beam tweeters, a built-in dual subwoofer and five front speakers ', 'Sound Field Optimization for easy set up ', 'Wireless connectivity for music streaming ']",['Soundbars'],Home Theatre and Sound bars,Audio,,,['Soundbars'],,,,Surround yourself in absolute realism,"The HT-A7000 envelops you in authentic 7.1.2 channel surround sound with up-firing speakers, side beam tweeters, and a built-in dual subwoofer. And with optional rear speakers it supports 360 Spatial Sound Mapping, enabling you to discover a whole new level of immersion.",,,,,,,,,,"[""Surround yourself in absolute realism:\nThe HT-A7000 envelops you in authentic 7.1.2 channel surround sound with up-firing speakers, side beam tweeters, and a built-in dual subwoofer. And with optional rear speakers it supports 360 Spatial Sound Mapping, enabling you to discover a whole new level of immersion.\n""]"
NW-A306,None,None,"['Rs.29,990']",3.9,61,"['https://sony.scene7.com/is/image/sonyglobalsolutions/NW-A300_Intro1_D?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/NW-A300_Gallery1-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/NW-A300_Gallery2-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/NW-A300_Gallery3-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/NW-A300_Gallery4-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/NW-A300_Gallery5-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/NW-A300_Gallery6-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Gray_1_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Gray_2_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Gray_3_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Gray_4_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Blue_1_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Blue_2_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Blue_3_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/A300_Blue_4_D?$productIntroPlatedesktop$&fmt=png-alpha']",A300 WalkmanÂ® A Series,"[""Experience music as the artist intended, even in the compact body:\nEnjoy a high-quality sound from this stylish and compact music player that lets you download and stream more of the music you love. With full Wi-Fi® compatibility, a longer-lasting battery and a stylish and sleek design, you can play and find new music wherever you want to go.\n""]","['High-quality sound playback', 'High-end components', 'Longer battery life', 'Easy downloading and streaming', 'Fully portable']","['Premium', 'Music Streaming']",Walkman,Audio,,,"['Premium', 'Music Streaming']",,,,"Experience music as the artist intended, even in the compact body","Enjoy a high-quality sound from this stylish and compact music player that lets you download and stream more of the music you love. With full Wi-Fi® compatibility, a longer-lasting battery and a stylish and sleek design, you can play and find new music wherever you want to go.",,,,,,,,,,"[""Experience music as the artist intended, even in the compact body:\nEnjoy a high-quality sound from this stylish and compact music player that lets you download and stream more of the music you love. With full Wi-Fi® compatibility, a longer-lasting battery and a stylish and sleek design, you can play and find new music wherever you want to go.\n""]"
BRAVIA Theatre Bar 8,None,None,"['Rs.104,990']",5,7,"[‘https://m.media-amazon.com/images/I/516XwYWQFDL._SL1500_.jpg’, ‘https://m.media-amazon.com/images/I/51cZWkA6psL._SL1500_.jpg’]",BRAVIA Theatre Bar 8 | Single Soundbar | 360 Spatial Sound Mapping | Dolby AtmosÂ®/DTS:XÂ®,"[""Cinematic sound for a wider audience:\nBRAVIA Theatre Bar 8 combines physical and phantom speakers, creating a wider surround sound field that covers more of the room.\n""]","[   '360 Spatial Sound Mapping with 11 speaker units delivers immersive surround sound to a wider area.',
    'Combines physical and phantom speakers for a wider surround sound field.',
    'Sound Field Optimisation ensures movie theatre surround sound regardless of seat or room acoustics.',
    'Offers outstanding acoustic performance with 11 high-quality speaker units.',
    'Simple setup and smartphone control make surround sound easy to use.',
    'Pair with a BRAVIA TV for an unmatched cinematic audio-visual experience.',
    'Supports the latest audio and visual formats, enhancing movies, games, and music.',
    'Stream music with high-quality upmixed sound for a rich listening experience.',
    'Environmentally conscious design with reduced use of virgin plastics in products and packaging.',
    'Cinematic sound with a single soundbar featuring 360 Spatial Sound Mapping and Dolby Atmos®/DTS:X®.']",['Soundbars'],Home Theatre and Sound Bars,Audio,,,['Soundbars'],,,,Cinematic sound for a wider audience,"BRAVIA Theatre Bar 8 combines physical and phantom speakers, creating a wider surround sound field that covers more of the room.",,,,,,,,,,"[""Cinematic sound for a wider audience:\nBRAVIA Theatre Bar 8 combines physical and phantom speakers, creating a wider surround sound field that covers more of the room.\n""]"
BRAVIA Theatre Bar 9 ,None,None,"['Rs.149,990']",5,7,"[‘https://m.media-amazon.com/images/I/61giIWXu80L._SL1500_.jpg’, ‘https://m.media-amazon.com/images/I/51lI7nUxe8L._SL1500_.jpg’]",BRAVIA Theatre Bar 9 | Flagship Single Soundbar | 360 Spatial Sound Mapping | Dolby AtmosÂ®/DTS:XÂ®,"[""Rewriting the rules of surround sound:\nGo beyond conventional surround sound. Combining physical and phantom speakers, BRAVIA Theatre Bar 9 creates a wider surround sound field for outstanding immersion.\n""]","[
    'Top-of-the-range soundbar with 360 Spatial Sound Mapping and 13 speaker units for immersive cinematic sound.',
    'Combines physical and phantom speakers to create a wider surround sound field for outstanding immersion.',
    'Sound Field Optimisation ensures movie theatre surround sound regardless of seat or room acoustics.',
    'Innovative acoustic design with 13 high-performance speaker units.',
    'Simple setup and smartphone control make surround sound easy to use.',
    'Pair with a BRAVIA TV for an unmatched cinematic audio-visual experience.',
    'Supports the latest audio and visual formats, enhancing movies, games, and music.',
    'Stream music with high-quality upmixed sound for a rich listening experience.',
    'Environmentally conscious design with reduced use of virgin plastics in products and packaging.',
    'Flagship single soundbar featuring 360 Spatial Sound Mapping, Dolby Atmos®/DTS:X®, and two-way speakers.'
]",['Soundbars'],Home Theatre and Sound Bars,Audio,,,['Soundbars'],,,,Rewriting the rules of surround sound,"Go beyond conventional surround sound. Combining physical and phantom speakers, BRAVIA Theatre Bar 9 creates a wider surround sound field for outstanding immersion.",,,,,,,,,,"[""Rewriting the rules of surround sound:\nGo beyond conventional surround sound. Combining physical and phantom speakers, BRAVIA Theatre Bar 9 creates a wider surround sound field for outstanding immersion.\n""]"
BRAVIA Theatre Quad,None,None,"['Rs.239,990']",5,5,[‘https://m.media-amazon.com/images/I/81M9g3GdjFL._SL1500_.jpg’],BRAVIA Theatre Quad | Flagship home cinema system | 360 Spatial Sound Mapping | Dolby AtmosÂ®/DTS:XÂ®,"[""The true sound of cinema:\nWith four wireless speakers and 360 Spatial Sound Mapping, our flagship home cinema system brings the true sound of cinema home.\n""]","[
    'Flagship home cinema system with four wireless speakers and 360 Spatial Sound Mapping for true cinematic sound.',
    'Combines physical and phantom speakers to create a wider surround sound field for outstanding immersion.',
    'Designed to blend seamlessly with interiors, featuring wall-mounted or free-standing wireless speakers.',
    'Sound Field Optimisation ensures movie theatre surround sound regardless of seat or room acoustics.',
    'Innovative acoustic design delivers exceptional performance with advanced physical speakers.',
    'Simple setup and smartphone control make surround sound easy to use.',
    'Pair with a BRAVIA TV for an unmatched cinematic audio-visual experience.',
    'Supports the latest audio and visual formats, enhancing movies, games, and music.',
    'Stream music with high-quality upmixed sound for an immersive listening experience.',
    'Environmentally conscious design with reduced use of virgin plastics in products and packaging.'
]","['Soundbars', 'Home Theatre Systems']",Home Theatre and Sound Bars,Audio,,,"['Soundbars', 'Home Theatre Systems']",,,,The true sound of cinema,"With four wireless speakers and 360 Spatial Sound Mapping, our flagship home cinema system brings the true sound of cinema home.",,,,,,,,,,"[""The true sound of cinema:\nWith four wireless speakers and 360 Spatial Sound Mapping, our flagship home cinema system brings the true sound of cinema home.\n""]"
